sequence,open_time,close,ema9,ema26,crossover_type,days_from_start,price_diff_abs
297,2025-06-21 09:30:00,2445.14,2433.1121132380504,2433.0729712243697,金叉,140.39583333333334,44.870000000000346
298,2025-06-21 14:00:00,2418.0,2432.0836361690504,2433.992868742169,死叉,140.58333333333334,27.139999999999873
299,2025-06-23 00:30:00,2240.93,2218.4419890502427,2215.8802347708747,金叉,142.02083333333334,177.07000000000016
300,2025-06-23 16:30:00,2221.79,2246.163571557937,2247.858780981694,死叉,142.6875,19.139999999999873
301,2025-06-23 17:00:00,2275.1,2251.9508572463496,2249.8766490571243,金叉,142.70833333333334,53.309999999999945
302,2025-06-25 05:30:00,2429.38,2440.5050029515287,2440.5346482084683,死叉,144.22916666666666,154.2800000000002
303,2025-06-25 06:00:00,2441.3,2440.664002361223,2440.5913409337672,金叉,144.25,11.920000000000073
304,2025-06-25 09:00:00,2440.84,2441.008670314981,2441.0116725871403,死叉,144.375,0.4600000000000364
305,2025-06-25 20:30:00,2438.2,2427.9921115526454,2427.5569443474637,金叉,144.85416666666666,2.6400000000003274
306,2025-06-25 22:00:00,2418.76,2426.8570811149543,2427.2876002351836,死叉,144.91666666666666,19.4399999999996
307,2025-06-26 01:00:00,2441.48,2426.495959311799,2426.161004279998,金叉,145.04166666666666,22.7199999999998
308,2025-06-26 12:00:00,2443.32,2458.4527552294066,2460.8220035290587,死叉,145.5,1.8400000000001455
309,2025-06-27 03:30:00,2446.97,2432.228411160043,2431.2241628107563,金叉,146.14583333333334,3.649999999999636
310,2025-06-27 13:00:00,2425.91,2440.79409198986,2440.8217746159053,死叉,146.54166666666666,21.059999999999945
311,2025-06-28 06:00:00,2426.51,2422.2582950780516,2422.1095767441357,金叉,147.25,0.6000000000003638
312,2025-06-29 03:30:00,2427.86,2431.934574299065,2432.5572718969665,死叉,148.14583333333334,1.349999999999909
313,2025-06-29 06:30:00,2436.82,2432.691970325054,2432.4579359965146,金叉,148.27083333333334,8.960000000000036
314,2025-06-29 16:00:00,2432.92,2442.3463991134904,2442.8323587087693,死叉,148.66666666666666,3.900000000000091
315,2025-06-29 22:00:00,2478.91,2443.9514388960843,2441.7849127226636,金叉,148.91666666666666,45.98999999999978
316,2025-06-30 09:00:00,2472.19,2479.7729424868276,2480.4091929650504,死叉,149.375,6.7199999999998
317,2025-06-30 17:30:00,2487.63,2472.2867534226857,2470.395837052867,金叉,149.72916666666666,15.440000000000055
318,2025-07-01 04:30:00,2460.9,2481.2629417571006,2484.311413138599,死叉,150.1875,26.730000000000018
319,2025-07-02 04:30:00,2439.56,2424.0022844401406,2421.7265189557934,金叉,151.1875,21.340000000000146
320,2025-07-03 16:30:00,2572.12,2584.5181564048166,2585.7365205775022,死叉,152.6875,132.55999999999995
321,2025-07-03 20:00:00,2594.86,2586.5086865220683,2585.600494479593,金叉,152.83333333333334,22.740000000000236
322,2025-07-04 02:30:00,2575.18,2587.670665231867,2588.304390472076,死叉,153.10416666666666,19.68000000000029
323,2025-07-05 03:00:00,2521.27,2513.231429176595,2512.871107831591,金叉,154.125,53.909999999999854
324,2025-07-05 14:00:00,2516.5,2517.5796472444754,2517.704455258333,死叉,154.58333333333334,4.769999999999982
325,2025-07-05 22:30:00,2519.01,2511.3141363142277,2510.6574871130733,金叉,154.9375,2.5100000000002183
326,2025-07-06 05:30:00,2510.68,2512.757062627092,2512.805073261887,死叉,155.22916666666666,8.330000000000382
327,2025-07-06 06:00:00,2520.57,2514.3196501016737,2513.380253020266,金叉,155.25,9.890000000000327
328,2025-07-06 09:30:00,2507.29,2513.537523677003,2513.841569720584,死叉,155.39583333333334,13.2800000000002
329,2025-07-06 12:30:00,2520.26,2514.3586404467846,2513.8326730693498,金叉,155.52083333333334,12.970000000000255
330,2025-07-07 11:30:00,2562.99,2566.6804577016087,2567.0303707449516,死叉,156.47916666666666,42.72999999999956
331,2025-07-08 05:30:00,2552.15,2542.068208100248,2541.0609146110464,金叉,157.22916666666666,10.83999999999969
332,2025-07-11 22:00:00,2931.58,2974.7755235240083,2978.371237520836,死叉,160.91666666666666,379.42999999999984
333,2025-07-12 09:30:00,2974.08,2966.4483786893534,2965.689278295799,金叉,161.39583333333334,42.5
334,2025-07-12 12:00:00,2949.24,2965.3441599289276,2966.05532909492,死叉,161.5,24.840000000000146
335,2025-07-13 01:30:00,2949.57,2943.0232982415478,2942.3680533175348,金叉,162.0625,0.330000000000382
336,2025-07-13 22:30:00,2959.2,2975.3530153789266,2977.3839963500163,死叉,162.9375,9.629999999999654
337,2025-07-14 02:00:00,3003.6,2979.161899058795,2977.4613337513,金叉,163.08333333333334,44.40000000000009
338,2025-07-14 17:00:00,3012.18,3028.278642247157,3030.4473841754925,死叉,163.70833333333334,8.579999999999927
339,2025-07-15 13:00:00,3031.01,2991.294562521071,2986.520216493785,金叉,164.54166666666666,18.830000000000382
340,2025-07-18 16:00:00,3572.46,3586.3306558532413,3587.935349420886,死叉,167.66666666666666,541.4499999999998
341,2025-07-18 17:00:00,3612.0,3589.362019746075,3588.706575292255,金叉,167.70833333333334,39.539999999999964
342,2025-07-18 19:00:00,3575.9,3587.3148432879925,3588.4714735474627,死叉,167.79166666666666,36.09999999999991
343,2025-07-19 03:30:00,3592.98,3564.4074036966294,3562.900885538661,金叉,168.14583333333334,17.079999999999927
344,2025-07-19 08:30:00,3554.34,3568.241859420017,3568.2444795072183,死叉,168.35416666666666,38.63999999999987
345,2025-07-19 19:30:00,3577.61,3559.185847453455,3558.7317875047693,金叉,168.8125,23.269999999999982
346,2025-07-21 18:00:00,3787.68,3789.2899280099878,3789.349145193135,死叉,170.75,210.0699999999997
347,2025-07-22 16:00:00,3730.72,3703.049802246029,3701.985825625906,金叉,171.66666666666666,56.960000000000036
348,2025-07-22 18:00:00,3699.41,3701.5505909999742,3701.7666094545193,死叉,171.75,31.309999999999945
349,2025-07-22 18:30:00,3710.65,3703.37047279998,3702.4246383838145,金叉,171.77083333333334,11.240000000000236
350,2025-07-22 19:30:00,3670.14,3697.4219025919874,3700.3970630862605,死叉,171.8125,40.51000000000022
351,2025-07-22 21:30:00,3705.77,3701.1042833016786,3701.092175026147,金叉,171.89583333333334,35.63000000000011
352,2025-07-23 06:30:00,3694.5,3716.5242002365617,3719.081352122766,死叉,172.27083333333334,11.269999999999982
353,2025-07-24 01:00:00,3637.54,3621.9736587971074,3620.2870472120167,金叉,173.04166666666666,56.960000000000036
354,2025-07-24 05:00:00,3578.98,3621.8572294218948,3624.36659139748,死叉,173.20833333333334,58.559999999999945
355,2025-07-24 09:30:00,3636.11,3613.1118335895426,3612.893725338027,金叉,173.39583333333334,57.13000000000011
356,2025-07-24 10:00:00,3600.97,3610.683466871634,3612.010486424099,死叉,173.41666666666666,35.14000000000033
357,2025-07-24 10:30:00,3620.98,3612.7427734973076,3612.6748948371287,金叉,173.4375,20.01000000000022
